position,person,personID,start,end
Member of the National Council of the Slovak Republic,Ivan Gašparovič,Q57295,1992-06-23,2002-10-15
Member of the National Council of the Slovak Republic,Miklós Duray,Q831957,1994,2010
Member of the National Council of the Slovak Republic,Rudolf Bauer,Q4180026,1998,2001
Member of the National Council of the Slovak Republic,Pavol Hamžík,Q3497276,1998-09-26,2002-09-21
Member of the National Council of the Slovak Republic,Sándor Albert,Q12058026,2002,2006
Member of the National Council of the Slovak Republic,Vladimír Mečiar,Q316526,2002-10-15,2010-06-12
Member of the National Council of the Slovak Republic,Ivan Štefanec,Q11714338,2006,2014
Member of the National Council of the Slovak Republic,Rudolf Bauer,Q4180026,2006,2010
Member of the National Council of the Slovak Republic,Eduard Kukan,Q1289100,2006-07-04,2009-07-14
Member of the National Council of the Slovak Republic,Iveta Radičová,Q211771,2006-07-04,2009-04-23
Member of the National Council of the Slovak Republic,Iveta Radičová,Q211771,2010-06-12,2010-07-08
Member of the National Council of the Slovak Republic,Ivan Uhliarik,Q680582,2012,2016
Member of the National Council of the Slovak Republic,Lucia Ďuriš Nicholsonová,Q12770572,2016,2019
Member of the National Council of the Slovak Republic,Boris Kollár,Q23022210,2016,
Member of the National Council of the Slovak Republic,Peter Marček,Q29789902,2016,2020
Member of the National Council of the Slovak Republic,Juraj Kolesár,Q59271135,2016-03-23,
Member of the National Council of the Slovak Republic,Alan Suchánek,Q60234562,2016-03-23,
Member of the National Council of the Slovak Republic,Milan Laurenčík,Q60819384,2016-03-23,
Member of the National Council of the Slovak Republic,Zuzana Zimenová,Q27927105,2016-11-22,2020
