position,person,personID,start,end
President,Zuzana Čaputová,Q26273268,2019-06-15,
Prime Minister,Eduard Heger,Q46227987,2021-04-01,
Deputy Prime Minister,Igor Matovič,Q552706,2021-04-01,
Deputy Prime Minister,Richard Sulík,Q586798,2021-04-01,
Deputy Prime Minister,Štefan Holý,Q88299018,2021-04-01,
Deputy Prime Minister for Investments and Informatization,Veronika Remišová,Q26837632,2021-04-01,
Minister of Agriculture and Rural Development,Samuel Vlčan,Q107154992,2021-06-08,
Minister of Culture,Natália Milanová,Q61748113,2021-04-01,
Minister of Defence,Jaroslav Naď,Q86755007,2020-03-21,
Minister of Economy,Richard Sulík,Q586798,2021-04-01,
"Minister of Education, Science, Research and Sport",Branislav Gröhling,Q60777536,2020-03-21,
Minister of Environment,Ján Budaj,Q12027325,2021-04-01,
Minister of Finance,Igor Matovič,Q552706,2021-04-01,
Minister of Foreign and European Affairs,Ivan Korčok,Q3156132,2021-04-01,
Minister of Health,Vladimír Lengvarský,Q85421835,2021-04-01,
Minister of Interior,Roman Mikulec,Q88188383,2020-03-21,
Minister of Justice,Mária Kolíková,Q56823084,2021-04-01,
"Minister of Labor, Social Affairs and Family",Milan Krajniak,Q54991677,2021-04-01,
Minister of Transport and Construction,Andrej Doležal,Q88298109,2020-03-21,
Speaker of the National Council,Boris Kollár,Q23022210,2020-03-20,
Chief of the General Staff,Daniel Zmeko,Q52110606,2018-05-07,
Governor of the National Bank,Peter Kažimír,Q552534,2019-06-01,
Mayor of Bratislava,Matúš Vallo,Q12771236,2018-12-07,
