wanted,position,positionid,from,start,end
Q3156132,Minister of Foreign Affairs,Q2501411,Q467905,2012-04-04,2020-03-20
Q725799,"Minister of Education, Science, Research and Sport",Q30133594,Q3059549,2010-07-08,2012-04-04
Q6662827,Minister of Agriculture and Rural Development,Q25907399,Q168928,2007-11-28,2008-08-18
Q3014377,Minister of Interior,Q57419167,Q1502209,2006-07-04,2010-07-08
Q27990514,ambassador to Belgium,Q66311105,Q66424702,2005,2010
Q27990514,ambassador to France,Q66311098,Q27990509,2002-01-22,2007-06
Q701722,Minister of Foreign Affairs,Q2501411,Q1289100,1998-10-30,2006-07-04
Q503099,Mayor of Bratislava,Q18249941,Q705654,1998,2002
