position,title
Q6468838,President
Q45369,Prime Minister
Q108048763,Deputy Prime Minister
Q108048838,Deputy Prime Minister for Investments and Informatization
Q25907399,Minister of Agriculture and Rural Development
Q54914019,Minister of Culture
Q108048941,Minister of Defense
Q108048767,Minister of Economy
Q30133594,"Minister of Education, Science, Research and Sport"
Q108049036,Minister of Environment
Q20675149,Minister of Finance
Q2501411,Minister of Foreign Affairs
Q62999858,Minister of Foreign and European Affairs
Q89192431,Minister of Health
Q57419167,Minister of Interior
Q108048964,Minister of Justice
Q87605144,"Minister of Labor, Social Affairs and Family"
Q87740242,Minister of Transport and Construction
Q13538565,Speaker of the National Council
Q13537687,Chief of the General Staff
Q109535611,Governor of the National Bank
Q18249941,Mayor of Bratislava
