position,title
Q48844298,First Lady
Q110939026,ambassador to Belarus
Q66311105,ambassador to Belgium
Q40337980,ambassador to Canada
Q94638362,ambassador to Denmark
Q66311098,ambassador to France
Q27436260,ambassador to Germany
Q66828890,ambassador to Hungary
Q92098420,ambassador to Kenya
Q66317642,ambassador to Romania
Q68823368,ambassador to Ukraine
Q38251461,ambassador to the United States of America
Q27436263,Permanent Representative to the European Union
Q30249299,ambassador of Slovakia
Q110463754,mayor of Košice
