@@,name,position
->,Roman Mikulec,Minister of Interior of the Slovak Republic->Minister of Interior
->,Eduard Heger,Prime Minister of Slovakia->Prime Minister
+++,Štefan Holý,Deputy Prime Minister
+++,Vladimír Lengvarský,Minister of Health
+++,Veronika Remišová,Deputy Prime Minister for Investments and Informatization
+++,Samuel Vlčan,Minister of Agriculture and Rural Development
+++,Richard Sulík,Minister of Economy
+++,Richard Sulík,Deputy Prime Minister
+++,Natália Milanová,Minister of Culture
+++,Mária Kolíková,Minister of Justice
+++,Milan Krajniak,"Minister of Labour, Social Affairs and Family"
+++,Ján Budaj,Minister of Environment
+++,Jaroslav Naď,Minister of Defense
+++,Ivan Korčok,Minister of Foreign and European Affairs
+++,Igor Matovič,Minister of Finance
+++,Igor Matovič,Deputy Prime Minister
+++,Andrej Doležal,Minister of Transport and Construction
